n,problem,exact,eao_angle,eao_error,eao_time,eao_iter,incr_both_angle,incr_both_error,incr_both_time,incr_both_iter
5,Schur_vs_Schur_n5,0.8,9.041091602881802e-07,0.7999990958908397,2.0818240642547607,500,1.407035761428112e-05,0.7999859296423858,3.1359198093414307,1000
10,Schur_vs_Schur_n10,0.9,0.00014423817996158812,0.8998557618200385,1.615663766860962,500,6.707879276254074e-09,0.8999999932921208,3.761721134185791,1100
20,Schur_vs_Schur_n20,0.95,3.3755265565838495e-06,0.9499966244734434,2.2946767807006836,500,2.1093694059247905e-06,0.949997890630594,5.637258529663086,1300
50,Schur_vs_Schur_n50,0.98,6.381305365537926e-08,0.9799999361869464,3.1497766971588135,500,2.9192379259523727e-06,0.979997080762074,10.13026237487793,1900
100,Schur_vs_Schur_n100,0.99,1.5971525355122815e-05,0.9899840284746448,6.1658360958099365,500,2.5777660045171934e-05,0.9899742223399548,27.07562017440796,2900
200,Schur_vs_Schur_n200,0.995,1.6633241374712339e-06,0.9949983366758626,18.551626443862915,500,5.014513277547368e-06,0.9949949854867225,110.73225569725037,3000
500,Schur_vs_Schur_n500,0.998,0.0,0.998,0.2341020107269287,2,0.0,0.998,37.87855052947998,828
