n,problem_size,eao_best_angle,eao_avg_angle,eao_avg_time,eao_num_runs
20,400,0.7719096716419613,0.7701922069695147,0.03261368274688721,10
30,900,0.775017048609191,0.773972215611818,0.16508731842041016,10
40,1600,0.7781289719032556,0.7768045355564249,0.5566471815109253,10
50,2500,0.7801347446901504,0.7785245034947963,1.2912617444992065,10
60,3600,0.7811845419708553,0.7801840756850733,2.703673267364502,10
