n,m,eao_mean_angle,eao_std_angle,eao_best_angle,eao_num_runs,eao_time,inc_angle,inc_time,inc_iterations
17,8,0.7649706121287985,9.930136612989092e-17,0.7649706121287985,10,100.5551290512085,0.7649706121287986,0.0,109
19,9,0.7680619520576852,7.850462293418876e-17,0.768061952057685,10,100.26540732383728,0.7680619520576852,0.0049855709075927734,78
21,10,0.7687682582448012,4.965068306494546e-17,0.7687682582448011,10,100.24913167953491,0.7654086207269076,0.017748594284057617,72
23,11,0.7663698686457773,2.432376777795247e-16,0.7663698686457768,10,100.39968681335449,0.762297816579629,0.0,166
25,12,0.7673846802237279,1.790180836524724e-16,0.7673846802237277,10,6302.239271402359,0.7612214508929246,0.0065460205078125,212
27,13,0.7682579355519172,2.9790409838967276e-16,0.7682579355519163,10,100.36288857460022,0.7650750318917038,0.0,158
