n,problem,exact,eao_angle,eao_error,eao_time,eao_iter,incr_both_angle,incr_both_error,incr_both_time,incr_both_iter
5,Schur_vs_R+_n5,0.852416,0.7500000423670817,0.10241595763291822,1.0611555576324463,500,0.7500000758088557,0.1024159241911442,1.1106438636779785,1000
10,Schur_vs_R+_n10,0.897584,0.748280799421583,0.14930320057841706,0.6293632984161377,500,0.8658256396518439,0.031758360348156156,2.62716007232666,1100
20,Schur_vs_R+_n20,0.928217,0.750787537359522,0.177429462640478,0.9651243686676025,500,0.7985484716444858,0.12966852835551412,2.0738022327423096,1300
50,Schur_vs_R+_n50,0.954833,0.759679797484126,0.1951532025158741,1.0236799716949463,500,0.8648859591134065,0.08994704088659355,4.296645164489746,1900
100,Schur_vs_R+_n100,0.968116,0.7663459353743444,0.2017700646256556,1.830260992050171,500,0.8523274861913648,0.1157885138086352,8.076022863388062,2900
200,Schur_vs_R+_n200,0.977473,0.7850849776716037,0.19238802232839636,6.321022272109985,500,0.8037829841233657,0.17369001587663435,34.129838705062866,3000
500,Schur_vs_R+_n500,0.98576,0.75,0.23575999999999997,8.077895641326904,500,0.75,0.23575999999999997,26.286462545394897,3000
